"DateTime","depth","temp","DateTime_H"
"2017-07-05 12:00:00",2,25.1,2017-07-05 12:00:00
"2017-07-05 12:00:00",3,22.4,2017-07-05 12:00:00
"2017-07-05 12:00:00",4,19,2017-07-05 12:00:00
"2017-07-05 12:00:00",5,15.2,2017-07-05 12:00:00
"2017-07-05 12:00:00",6,13.4,2017-07-05 12:00:00
"2017-07-05 12:00:00",8,12.9,2017-07-05 12:00:00
"2017-07-05 12:00:00",9,12.8,2017-07-05 12:00:00
"2017-07-05 12:00:00",9.2,12.8,2017-07-05 12:00:00
"2017-07-09 12:00:00",0.1,25.4938,2017-07-09 12:00:00
"2017-07-09 12:00:00",1,25.6214,2017-07-09 12:00:00
"2017-07-09 12:00:00",2,22.8529,2017-07-09 12:00:00
"2017-07-09 12:00:00",3,19.2278,2017-07-09 12:00:00
"2017-07-09 12:00:00",4,15.7186,2017-07-09 12:00:00
"2017-07-09 12:00:00",5,13.0406,2017-07-09 12:00:00
"2017-07-09 12:00:00",6,12.9852,2017-07-09 12:00:00
"2017-07-09 12:00:00",7,12.9481,2017-07-09 12:00:00
"2017-07-09 12:00:00",8,12.9478,2017-07-09 12:00:00
"2017-07-09 12:00:00",9,12.9457,2017-07-09 12:00:00
"2017-07-09 12:00:00",9.2,12.9703,2017-07-09 12:00:00
"2017-07-10 12:00:00",0.1,25.7259,2017-07-10 12:00:00
"2017-07-10 12:00:00",1,25.5406,2017-07-10 12:00:00
"2017-07-10 12:00:00",2,22.111,2017-07-10 12:00:00
"2017-07-10 12:00:00",3,19.8463,2017-07-10 12:00:00
"2017-07-10 12:00:00",4,17.6337,2017-07-10 12:00:00
"2017-07-10 12:00:00",5,15.5131,2017-07-10 12:00:00
"2017-07-10 12:00:00",6,13.0838,2017-07-10 12:00:00
"2017-07-10 12:00:00",7,13.0311,2017-07-10 12:00:00
"2017-07-10 12:00:00",8,13.0294,2017-07-10 12:00:00
"2017-07-10 12:00:00",9,13.0223,2017-07-10 12:00:00
"2017-07-10 12:00:00",9.2,13.0193,2017-07-10 12:00:00
"2017-07-11 12:00:00",0.1,26.2851,2017-07-11 12:00:00
"2017-07-11 12:00:00",1,25.7886,2017-07-11 12:00:00
"2017-07-11 12:00:00",2,22.8037,2017-07-11 12:00:00
"2017-07-11 12:00:00",3,20.3994,2017-07-11 12:00:00
"2017-07-11 12:00:00",4,18.2674,2017-07-11 12:00:00
"2017-07-11 12:00:00",5,16.3745,2017-07-11 12:00:00
"2017-07-11 12:00:00",6,13.2291,2017-07-11 12:00:00
"2017-07-11 12:00:00",7,13.1159,2017-07-11 12:00:00
"2017-07-11 12:00:00",8,13.1205,2017-07-11 12:00:00
"2017-07-11 12:00:00",9,13.1013,2017-07-11 12:00:00
"2017-07-11 12:00:00",9.2,13.0952,2017-07-11 12:00:00
"2017-07-12 12:00:00",0.1,26.8109,2017-07-12 12:00:00
"2017-07-12 12:00:00",1,25.3243,2017-07-12 12:00:00
"2017-07-12 12:00:00",2,22.8427,2017-07-12 12:00:00
"2017-07-12 12:00:00",3,20.6384,2017-07-12 12:00:00
"2017-07-12 12:00:00",4,18.9252,2017-07-12 12:00:00
"2017-07-12 12:00:00",5,17.078,2017-07-12 12:00:00
"2017-07-12 12:00:00",6,13.2516,2017-07-12 12:00:00
"2017-07-12 12:00:00",7,13.2025,2017-07-12 12:00:00
"2017-07-12 12:00:00",8,13.1937,2017-07-12 12:00:00
"2017-07-12 12:00:00",9,13.1899,2017-07-12 12:00:00
"2017-07-12 12:00:00",9.2,13.1884,2017-07-12 12:00:00
"2017-07-13 12:30:00",0.1,28.8,2017-07-13 12:00:00
"2017-07-13 12:30:00",1,27.4,2017-07-13 12:00:00
"2017-07-13 12:30:00",2,24.6,2017-07-13 12:00:00
"2017-07-13 12:30:00",3,23.7,2017-07-13 12:00:00
"2017-07-13 12:30:00",4,20.9,2017-07-13 12:00:00
"2017-07-13 12:30:00",5,18.9,2017-07-13 12:00:00
"2017-07-13 12:30:00",6,15.1,2017-07-13 12:00:00
"2017-07-13 12:30:00",8,13.3,2017-07-13 12:00:00
"2017-07-13 12:30:00",9,13.2,2017-07-13 12:00:00
"2017-07-13 12:30:00",9.2,13.2,2017-07-13 12:00:00
"2017-07-17 10:00:00",0.1,27,2017-07-17 10:00:00
"2017-07-17 10:00:00",1,26.6,2017-07-17 10:00:00
"2017-07-17 10:00:00",2,26,2017-07-17 10:00:00
"2017-07-17 10:00:00",3,24.8,2017-07-17 10:00:00
